date,sale_count
04-01-2015,24
11-01-2015,20
18-01-2015,23
25-01-2015,51
01-02-2015,11
08-02-2015,15
15-02-2015,8
22-02-2015,36
01-03-2015,10
08-03-2015,15
15-03-2015,14
22-03-2015,16
29-03-2015,41
05-04-2015,5
12-04-2015,6
19-04-2015,8
26-04-2015,19
03-05-2015,2
10-05-2015,2
17-05-2015,2
24-05-2015,2
31-05-2015,14
07-06-2015,6
14-06-2015,9
21-06-2015,8
28-06-2015,19
05-07-2015,4
12-07-2015,8
19-07-2015,8
26-07-2015,16
02-08-2015,9
09-08-2015,9
16-08-2015,6
23-08-2015,8
30-08-2015,22
06-09-2015,4
13-09-2015,3
20-09-2015,4
27-09-2015,7
04-10-2015,5
11-10-2015,9
18-10-2015,9
25-10-2015,19
01-11-2015,4
08-11-2015,4
15-11-2015,2
22-11-2015,4
29-11-2015,10
06-12-2015,6
13-12-2015,6
20-12-2015,5
27-12-2015,15
03-01-2016,0
10-01-2016,0
17-01-2016,0
24-01-2016,0
31-01-2016,2
07-02-2016,1
14-02-2016,2
21-02-2016,2
28-02-2016,3
06-03-2016,3
13-03-2016,3
20-03-2016,6
27-03-2016,12
03-04-2016,1
10-04-2016,1
17-04-2016,1
24-04-2016,2
01-05-2016,3
08-05-2016,1
15-05-2016,2
22-05-2016,1
29-05-2016,11
05-06-2016,2
12-06-2016,4
19-06-2016,3
26-06-2016,7
03-07-2016,0
10-07-2016,0
17-07-2016,0
24-07-2016,0
31-07-2016,4
07-08-2016,3
14-08-2016,3
21-08-2016,5
28-08-2016,9
04-09-2016,3
11-09-2016,4
18-09-2016,3
25-09-2016,20
02-10-2016,0
09-10-2016,0
16-10-2016,0
23-10-2016,0
30-10-2016,0
06-11-2016,0
13-11-2016,0
20-11-2016,0
27-11-2016,2
04-12-2016,2
11-12-2016,3
18-12-2016,3
25-12-2016,4
01-01-2017,5
08-01-2017,5
15-01-2017,6
22-01-2017,5
29-01-2017,15
05-02-2017,2
12-02-2017,4
19-02-2017,4
26-02-2017,8
05-03-2017,5
12-03-2017,5
19-03-2017,5
26-03-2017,25
02-04-2017,4
09-04-2017,2
16-04-2017,2
23-04-2017,4
30-04-2017,10
07-05-2017,0
14-05-2017,0
21-05-2017,0
28-05-2017,2
04-06-2017,0
11-06-2017,0
18-06-2017,0
25-06-2017,0
02-07-2017,0
09-07-2017,0
16-07-2017,0
23-07-2017,0
30-07-2017,0
06-08-2017,4
13-08-2017,6
20-08-2017,8
27-08-2017,14
03-09-2017,6
10-09-2017,8
17-09-2017,7
24-09-2017,29
01-10-2017,0
08-10-2017,0
15-10-2017,0
22-10-2017,0
29-10-2017,0
05-11-2017,0
12-11-2017,0
19-11-2017,0
26-11-2017,0
03-12-2017,5
10-12-2017,5
17-12-2017,3
24-12-2017,4
31-12-2017,9
07-01-2018,2
14-01-2018,5
21-01-2018,3
28-01-2018,10
04-02-2018,2
11-02-2018,2
18-02-2018,2
25-02-2018,10
